2026-08-13 16:26:10 | verdict=wait | score=0.02/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 17:31:22 | verdict=wait | score=-0.49/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 18:39:02 | verdict=wait | score=-1.49/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 19:45:56 | verdict=wait | score=-0.48/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 20:49:09 | verdict=wait | score=-0.48/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 21:51:29 | verdict=wait | score=-0.48/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-13 22:49:13 | verdict=wait | score=-1.49/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-13 23:46:44 | verdict=wait | score=-0.99/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 02:20:36 | verdict=wait | score=0.06/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bearish | nearSupport=True | nearResistance=False | cotZ=1.854
2026-08-14 04:23:52 | verdict=wait | score=-0.45/8 | macro=-20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 05:57:59 | verdict=wait | score=0.16/8 | macro=20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 07:44:44 | verdict=wait | score=0.15/8 | macro=20% | goldTrend=bearish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 08:50:58 | verdict=wait | score=0.14/8 | macro=20% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 10:08:04 | verdict=wait | score=1.64/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-14 11:09:17 | verdict=buy | score=2.64/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 11:58:48 | verdict=wait | score=1.63/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=bearish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-14 13:25:16 | verdict=buy | score=2.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=neutral | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 14:32:47 | verdict=wait | score=1.12/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bearish | us10yTrend=neutral | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-14 15:35:00 | verdict=wait | score=0.12/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-14 16:34:37 | verdict=wait | score=-0.38/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=True | cotZ=1.854
2026-08-14 17:39:49 | verdict=wait | score=0.62/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 18:34:34 | verdict=wait | score=0.63/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=1.854
2026-08-14 19:38:44 | verdict=wait | score=0.63/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 20:16:08 | verdict=wait | score=-1.87/8 | macro=20% | goldTrend=neutral | h4Trend=bullish | jpyTrend=bullish | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 20:57:16 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 21:33:42 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 22:42:26 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 23:02:28 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-14 23:38:35 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 01:51:30 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 02:55:58 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 03:45:12 | verdict=wait | score=1.13/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 04:15:38 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 04:58:10 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 05:33:38 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 06:58:42 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 07:37:03 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 08:01:10 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 08:46:26 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 09:30:34 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 10:00:55 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 10:41:05 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 11:00:52 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 11:35:07 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
2026-08-15 11:57:56 | verdict=wait | score=1.15/8 | macro=20% | goldTrend=bullish | h4Trend=bullish | jpyTrend=neutral | us10yTrend=bullish | nearSupport=False | nearResistance=False | cotZ=2.411
